site,year,date,jd,jd2,species,detections,weighted_detections,mean_confidence,source_file
AMLA1,2019,2019-06-11,-2.195555819086412,4.820465354724206,Lano,1,1,1,Data_CumulativeSonoBatch_v4.4.5.xlsx
AMLA1,2019,2019-06-11,-2.195555819086412,4.820465354724206,Mylu,1,1,1,Data_CumulativeSonoBatch_v4.4.5.xlsx
AMLA1,2019,2019-06-11,-2.195555819086412,4.820465354724206,NA,6,0,NA,Data_CumulativeSonoBatch_v4.4.5.xlsx
AMLA1,2019,2019-06-12,-1.627917141144447,2.6501142184319098,Laci,2,1.9998,0.9999,Data_CumulativeSonoBatch_v4.4.5.xlsx
AMLA1,2019,2019-06-12,-1.627917141144447,2.6501142184319098,Lano,5,4.9877,0.99754,Data_CumulativeSonoBatch_v4.4.5.xlsx
AMLA1,2019,2019-06-12,-1.627917141144447,2.6501142184319098,Mylu,2,1.9998,0.9999,Data_CumulativeSonoBatch_v4.4.5.xlsx
AMLA1,2019,2019-06-12,-1.627917141144447,2.6501142184319098,NA,112,0,NA,Data_CumulativeSonoBatch_v4.4.5.xlsx
AMLA1,2019,2019-06-13,-1.0602784632024818,1.1241904195310164,Lano,7,6.997199999999999,0.9996,Data_CumulativeSonoBatch_v4.4.5.xlsx
AMLA1,2019,2019-06-13,-1.0602784632024818,1.1241904195310164,Mylu,2,2,1,Data_CumulativeSonoBatch_v4.4.5.xlsx
AMLA1,2019,2019-06-13,-1.0602784632024818,1.1241904195310164,NA,167,0,NA,Data_CumulativeSonoBatch_v4.4.5.xlsx
AMLA1,2019,2019-06-14,-0.4926397852605166,0.2426939580215279,Epfu,1,1,1,Data_CumulativeSonoBatch_v4.4.5.xlsx
AMLA1,2019,2019-06-14,-0.4926397852605166,0.2426939580215279,Lano,36,35.9854,0.9995944444444445,Data_CumulativeSonoBatch_v4.4.5.xlsx
AMLA1,2019,2019-06-14,-0.4926397852605166,0.2426939580215279,Mylu,2,1.9999,0.99995,Data_CumulativeSonoBatch_v4.4.5.xlsx
AMLA1,2019,2019-06-14,-0.4926397852605166,0.2426939580215279,NA,127,0,NA,Data_CumulativeSonoBatch_v4.4.5.xlsx
AMLA1,2019,2019-06-15,0.0749988926814486,0.005624833903443445,Epfu,1,1,1,Data_CumulativeSonoBatch_v4.4.5.xlsx
AMLA1,2019,2019-06-15,0.0749988926814486,0.005624833903443445,Laci,5,4.9991,0.99982,Data_CumulativeSonoBatch_v4.4.5.xlsx
AMLA1,2019,2019-06-15,0.0749988926814486,0.005624833903443445,Lano,41,40.9862,0.9996634146341463,Data_CumulativeSonoBatch_v4.4.5.xlsx
AMLA1,2019,2019-06-15,0.0749988926814486,0.005624833903443445,Mylu,6,5.9998000000000005,0.9999666666666667,Data_CumulativeSonoBatch_v4.4.5.xlsx
AMLA1,2019,2019-06-15,0.0749988926814486,0.005624833903443445,NA,171,0,NA,Data_CumulativeSonoBatch_v4.4.5.xlsx
AMLA1,2019,2019-06-16,0.6426375706234138,0.4129830471767631,Laci,2,1.9998,0.9999,Data_CumulativeSonoBatch_v4.4.5.xlsx
AMLA1,2019,2019-06-16,0.6426375706234138,0.4129830471767631,Lano,51,50.9959,0.9999196078431373,Data_CumulativeSonoBatch_v4.4.5.xlsx
AMLA1,2019,2019-06-16,0.6426375706234138,0.4129830471767631,Mylu,7,6.9999,0.9999857142857143,Data_CumulativeSonoBatch_v4.4.5.xlsx
AMLA1,2019,2019-06-16,0.6426375706234138,0.4129830471767631,NA,191,0,NA,Data_CumulativeSonoBatch_v4.4.5.xlsx
AMLA1,2019,2019-06-17,1.210276248565379,1.4647685978414873,Laci,1,1,1,Data_CumulativeSonoBatch_v4.4.5.xlsx
AMLA1,2019,2019-06-17,1.210276248565379,1.4647685978414873,Lano,2,2,1,Data_CumulativeSonoBatch_v4.4.5.xlsx
AMLA1,2019,2019-06-17,1.210276248565379,1.4647685978414873,Mylu,2,2,1,Data_CumulativeSonoBatch_v4.4.5.xlsx
AMLA1,2019,2019-06-17,1.210276248565379,1.4647685978414873,NA,122,0,NA,Data_CumulativeSonoBatch_v4.4.5.xlsx
AMLA1,2019,2019-06-18,1.7779149265073442,3.160981485897615,Mylu,2,1.9999,0.99995,Data_CumulativeSonoBatch_v4.4.5.xlsx
AMLA1,2019,2019-06-18,1.7779149265073442,3.160981485897615,NA,83,0,NA,Data_CumulativeSonoBatch_v4.4.5.xlsx
AMLA1,2019,2019-06-11,-2.3717077785677887,5.624997786918955,Lano,1,1,1,Data_CumulativeSonoBatch_v430.xlsx
AMLA1,2019,2019-06-11,-2.3717077785677887,5.624997786918955,Mylu,1,1,1,Data_CumulativeSonoBatch_v430.xlsx
AMLA1,2019,2019-06-11,-2.3717077785677887,5.624997786918955,NA,6,0,NA,Data_CumulativeSonoBatch_v430.xlsx
AMLA1,2019,2019-06-12,-2.2162820873101814,4.911906290531975,Laci,3,2.9995000000000003,0.9998333333333334,Data_CumulativeSonoBatch_v430.xlsx
AMLA1,2019,2019-06-12,-2.2162820873101814,4.911906290531975,Lano,5,4.9985,0.9997,Data_CumulativeSonoBatch_v430.xlsx
AMLA1,2019,2019-06-12,-2.2162820873101814,4.911906290531975,Mylu,1,1,1,Data_CumulativeSonoBatch_v430.xlsx
AMLA1,2019,2019-06-12,-2.2162820873101814,4.911906290531975,NA,112,0,NA,Data_CumulativeSonoBatch_v430.xlsx
AMLA1,2019,2019-06-13,-2.060856396052574,4.247129085150804,Lano,10,9.9988,0.99988,Data_CumulativeSonoBatch_v430.xlsx
AMLA1,2019,2019-06-13,-2.060856396052574,4.247129085150804,Mylu,3,3,1,Data_CumulativeSonoBatch_v430.xlsx
AMLA1,2019,2019-06-13,-2.060856396052574,4.247129085150804,NA,163,0,NA,Data_CumulativeSonoBatch_v430.xlsx
AMLA1,2019,2019-06-14,-1.9054307047949668,3.6306661707754437,Epfu,1,1,1,Data_CumulativeSonoBatch_v430.xlsx
AMLA1,2019,2019-06-14,-1.9054307047949668,3.6306661707754437,Laci,2,2,1,Data_CumulativeSonoBatch_v430.xlsx
AMLA1,2019,2019-06-14,-1.9054307047949668,3.6306661707754437,Lano,32,32,1,Data_CumulativeSonoBatch_v430.xlsx
AMLA1,2019,2019-06-14,-1.9054307047949668,3.6306661707754437,Mylu,1,1,1,Data_CumulativeSonoBatch_v430.xlsx
AMLA1,2019,2019-06-14,-1.9054307047949668,3.6306661707754437,Myvo,1,1,1,Data_CumulativeSonoBatch_v430.xlsx
AMLA1,2019,2019-06-14,-1.9054307047949668,3.6306661707754437,NA,129,0,NA,Data_CumulativeSonoBatch_v430.xlsx
AMLA1,2019,2019-06-15,-1.7500050135373595,3.0625175474058937,Laci,9,8.9997,0.9999666666666667,Data_CumulativeSonoBatch_v430.xlsx
AMLA1,2019,2019-06-15,-1.7500050135373595,3.0625175474058937,Lano,48,47.9529,0.99901875,Data_CumulativeSonoBatch_v430.xlsx
AMLA1,2019,2019-06-15,-1.7500050135373595,3.0625175474058937,Mylu,4,4,1,Data_CumulativeSonoBatch_v430.xlsx
AMLA1,2019,2019-06-15,-1.7500050135373595,3.0625175474058937,NA,163,0,NA,Data_CumulativeSonoBatch_v430.xlsx
AMLA1,2019,2019-06-16,-1.594579322279752,2.5426832150421532,Laci,1,1,1,Data_CumulativeSonoBatch_v430.xlsx
AMLA1,2019,2019-06-16,-1.594579322279752,2.5426832150421532,Lano,54,53.9676,0.9994,Data_CumulativeSonoBatch_v430.xlsx
AMLA1,2019,2019-06-16,-1.594579322279752,2.5426832150421532,Mylu,6,6,1,Data_CumulativeSonoBatch_v430.xlsx
AMLA1,2019,2019-06-16,-1.594579322279752,2.5426832150421532,NA,190,0,NA,Data_CumulativeSonoBatch_v430.xlsx
AMLA1,2019,2019-06-17,-1.4391536310221447,2.0711631736842233,Laci,1,0.9998,0.9998,Data_CumulativeSonoBatch_v430.xlsx
AMLA1,2019,2019-06-17,-1.4391536310221447,2.0711631736842233,Lano,2,2,1,Data_CumulativeSonoBatch_v430.xlsx
