contrast,intensity,ratio,SE,df,null,z.ratio,p.value
R / W,100,0.9523,0.0152,Inf,1,-3.0638,0.0022
R / W,80,0.9569,0.0106,Inf,1,-3.9617,1e-4
R / W,85,0.9558,0.0111,Inf,1,-3.8935,1e-4
R / W,65,0.9604,0.0127,Inf,1,-3.0624,0.0022
R / W,70,0.9592,0.0115,Inf,1,-3.4792,5e-4
R / W,90,0.9546,0.0121,Inf,1,-3.6646,2e-4
R / W,95,0.9535,0.0135,Inf,1,-3.3661,8e-4
R / W,75,0.9581,0.0108,Inf,1,-3.8118,1e-4
R / W,10,0.9733,0.0371,Inf,1,-0.7109,0.4771
R / W,50,0.9639,0.0181,Inf,1,-1.9595,0.0501
R / W,30,0.9686,0.0272,Inf,1,-1.1373,0.2554
R / W,60,0.9616,0.0142,Inf,1,-2.6469,0.0081
