filename,mean_brightness,median_brightness,sd_brightness,corrected_brightness,iso,exposure_seconds,aperture_f
grte_amla1_dark_p1.CR2,638.8541822647155,692.0772,601.3599102874106,0.0,3200.0,30.0,0.0
grte_amla1_dark_p2.CR2,604.8685236144194,682.25,614.8515520106899,0.0,3200.0,30.0,0.0
grte_amla1_dark_p3.CR2,668.9622563463932,760.2734,685.80343699786,0.0,3200.0,30.0,0.0
grte_cora1_dark_p1.CR2,769.3978901678489,830.9353999999998,797.8511121206815,0.0,3200.0,30.0,0.0
grte_cora1_dark_p2.CR2,688.8036546727662,744.2991999999999,711.6440630231824,0.0,3200.0,30.0,0.0
grte_cora1_dark_p3.CR2,742.967743481432,802.3976,775.6176644269873,0.0,3200.0,30.0,0.0
grte_gsla1_dark_p1.CR2,1033.0026721906638,934.2928999999999,783.3970960074527,0.0,3200.0,30.0,0.0
grte_gsla1_dark_p2.CR2,1032.4233719085862,933.3847000000001,781.4746276991634,0.0,3200.0,30.0,0.0
grte_gsla1_dark_p3.CR2,1030.1282044500228,931.8332999999999,777.4598553297745,0.0,3200.0,30.0,0.0
grte_noro1_dark_p1.CR2,843.7509827042514,832.8719999999998,688.0124531569984,0.0,3200.0,30.0,0.0
grte_noro1_dark_p2.CR2,849.8463014575874,838.5355999999999,701.0960192695918,0.0,3200.0,30.0,0.0
grte_noro1_dark_p3.CR2,853.0478561729112,841.277,705.9331512374553,0.0,3200.0,30.0,0.0
grte_shla1_dark_p1.CR2,466.54625769487006,339.4262,566.1636435522109,0.0,3200.0,30.0,0.0
grte_shla1_dark_p2.CR2,468.62450244823134,341.1176,569.0918552499575,0.0,3200.0,30.0,0.0
grte_shla1_dark_p3.CR2,467.6620610995961,344.255,565.4271017503811,0.0,3200.0,30.0,0.0
